course_code,institution_name,course_name,degree_type,placed,last_grade,region,type,lat,lon
8086,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),PM,22.0,157.5,Other,Public,,
9022,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,L1,4.0,,Other,Public,,
L344,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Guias de Natureza e Património,L1,6.0,119.5,Other,Public,,
9135,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Europeus,L1,6.0,129.0,Other,Public,,
9181,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,L1,25.0,140.3,Other,Public,,
9219,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,L1,40.0,151.5,Other,Public,,
9238,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,L1,22.0,112.5,Other,Public,,
9240,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,4.0,113.3,Other,Public,,
9652,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Comunicação e Relações Públicas,L1,20.0,119.0,Other,Public,,
9853,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,L1,27.0,141.5,Other,Public,,
L041,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,L1,23.0,111.3,Other,Public,,
8083,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,PM,50.0,176.2,Other,Public,,
8524,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,L1,2.0,,Other,Public,,
8571,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),PL,7.0,172.8,Other,Public,,
9011,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,L1,12.0,129.5,Other,Public,,
9185,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática,L1,4.0,144.8,Other,Public,,
A017,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciências do Oceano (ensino em inglês),L1,2.0,138.0,Other,Public,,
9081,Universidade dos Açores - Faculdade de Economia e Gestão,Economia,L1,4.0,145.8,Other,Public,,
9147,Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,L1,46.0,112.3,Other,Public,,
9254,Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,L1,15.0,120.3,Other,Public,,
8509,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,L1,24.0,114.3,Faro,Public,37.0194,-7.9322
9204,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",L1,28.0,118.8,Faro,Public,37.0194,-7.9322
9219,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,L1,65.0,156.0,Faro,Public,37.0194,-7.9322
9817,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,L1,27.0,125.8,Faro,Public,37.0194,-7.9322
